 ,Area,Mean,Min,Max,X,Y
1,0,44,44,44,2048.000,847.000
2,0,28,28,28,2000.500,686.500
3,0,51,51,51,1842.500,441.000
4,0,51,51,51,1740.500,349.500
5,0,51,51,51,1740.500,349.500
6,0,48,48,48,1673.500,303.000
7,0,55,55,55,1549.000,246.500
8,0,64,64,64,1461.000,222.500
9,0,52,52,52,1349.000,202.000
10,0,51,51,51,902.000,296.500
11,0,43,43,43,832.000,339.000
12,0,30,30,30,722.500,427.000
13,0,31,31,31,667.000,487.000
14,0,35,35,35,633.000,533.500
15,0,48,48,48,557.500,671.500
16,0,39,39,39,532.000,734.500
17,0,40,40,40,497.500,887.000
18,0,27,27,27,489.000,972.500
19,0,60,60,60,499.500,1096.000
20,0,55,55,55,508.500,1150.000
21,0,20,20,20,582.000,1348.000
22,0,21,21,21,618.500,1416.500
23,0,24,24,24,683.000,1498.500
24,0,28,28,28,831.000,1635.000
25,0,48,48,48,1704.000,1644.000
26,0,42,42,42,1192.500,1765.500
